state_idx,cos_sim,mean_A,mean_g_norm_sq,v_unbiased_norm,v_intentional_norm
103,0.8996743766600899,-0.00670320233903641,156383.43173632812,0.2049899846315384,1.633320607652422e-06
104,0.8283706086203009,0.019379828020806577,168893.5361269531,0.42854228615760803,3.1603051411366323e-06
105,0.8330960619034169,0.014588311619135385,231727.67243164062,0.3166007995605469,1.8297738506589667e-06
106,0.8405633417205981,-0.026186594148992222,267672.02579101565,0.7669314742088318,3.6186943361826707e-06
107,0.7977293677032484,-0.03588659030102673,300123.8572109375,0.9444774985313416,3.619639528551488e-06
108,0.979713847421815,-0.004918178757441311,298271.5984580078,3.0234766006469727,9.153659448202234e-06
109,0.879090316583112,-0.05249950203916126,206480.84512109376,3.721715211868286,1.668641016294714e-05
110,0.990564926264955,-0.003327046363862263,112454.64401269531,0.9264906048774719,9.079632036446128e-06
111,0.9590310002795464,0.004804248564053267,113742.14663085938,0.43042242527008057,3.7742420317954384e-06
112,0.729310019858522,-0.04679966274785406,132732.07053320314,0.9138146638870239,7.639191608177498e-06
113,0.8652289136199364,0.01717719502623614,140835.1954785156,0.5416111350059509,4.0666218410478905e-06
114,0.9018421993415741,-0.01840221119719471,150142.13262304687,0.535492479801178,3.7324891764001222e-06
115,0.9975826401375731,-0.0010695832786013141,184135.38162695314,0.5793895125389099,3.1568877147947205e-06
116,0.981720406270282,-0.011545333483594104,255730.98284960937,0.9303409457206726,3.851323526760098e-06
117,0.9805114825155672,0.00514277215021429,253179.24438671875,0.9755387306213379,3.490982635412365e-06
118,0.9274300932526568,0.05688764516261134,300070.3865449219,4.420370101928711,1.5181501112238038e-05
119,0.9359797821632919,-0.016356264113217115,229604.16638867187,1.2310328483581543,5.808900823467411e-06
120,0.979046902890265,0.0022765918961886802,132274.94496484374,0.28061842918395996,2.2186015939951176e-06
121,0.9038988417723345,-0.009284112481648833,107070.70550390625,0.3226916193962097,3.3887029076140607e-06
122,0.9960572610299114,-0.00013493748489396573,116873.74943554688,0.249334916472435,2.221215027020662e-06
123,0.9940641371290053,-0.0016129229769283652,125522.52851171874,0.22039678692817688,1.8280310314366943e-06
124,0.5290271756956837,0.03402348629976343,136200.025859375,0.47882720828056335,4.034458470414393e-06
125,0.9070255394833503,0.011052495022256857,139211.8766328125,0.3109361231327057,2.769791763057583e-06
126,0.9792943241701342,0.0030242380744210148,139941.78251269532,0.2534152865409851,2.133263251380413e-06
127,0.6686639378163182,-0.023463400100109954,149873.17786523438,0.28800997138023376,2.7689245598594425e-06
128,0.9769426765380227,0.0048361562762049655,182032.02061914062,0.2981704771518707,1.9605122361099347e-06
129,0.9865223105592378,-0.002556622391734548,333872.32726953126,1.592349648475647,4.544323473965051e-06
130,0.9288360291325705,0.029104644185909214,253068.69094335937,2.6328508853912354,1.0184442544414196e-05
131,0.5993729897305814,0.08245305657866282,271763.6356132812,1.640486478805542,1.1200555491086561e-05
132,0.9493916162519832,-0.004773430668986774,153338.0344453125,0.3755553066730499,2.654034915394732e-06
133,0.9937958636193068,-0.004042818027234336,126859.06970996094,0.7107776999473572,4.917196292808512e-06
134,0.26963044868511366,-0.025939399957233975,131072.42951953126,0.24333104491233826,2.626979494380066e-06
